"Country";"Value"
"Austria";"55.4"
"Belgium";"48.5"
"Bulgaria";"37.7"
"Croatia";"60.2"
"Cyprus";"33.6"
"Czechia";"70"
"Denmark";"63.1"
"Estonia";"63.3"
"Finland";"67"
"France";"43.5"
"Germany";"59.8"
"Greece";"22.5"
"Hungary";"53"
"Iceland";"60.6"
"Ireland";"39.2"
"Italy";"15.1"
"Latvia";"53.3"
"Lithuania";"51.8"
"Luxembourg";"61.1"
"Malta";"58.2"
"Netherlands";"61.4"
"Norway";"61"
"Poland";"60.5"
"Portugal";"42.6"
"Romania";"39.9"
"Slovakia";"52.6"
"Slovenia";"61.4"
"Spain";"19.1"
"Sweden";"60.3"
"Switzerland";"56.3"
"United Kingdom";"46.6"
""
