Country;Pillar;Value
Austria;Skills activation;68.0
Belgium;Skills activation;38.6
Bulgaria;Skills activation;18.1
Croatia;Skills activation;47.5
Cyprus;Skills activation;53.4
Czechia;Skills activation;54.3
Denmark;Skills activation;59.9
Estonia;Skills activation;62.5
Finland;Skills activation;57.5
France;Skills activation;44.9
Germany;Skills activation;65.0
Greece;Skills activation;31.7
Hungary;Skills activation;39.2
Iceland;Skills activation;72.8
Ireland;Skills activation;51.3
Italy;Skills activation;1.7
Latvia;Skills activation;63.2
Lithuania;Skills activation;58.3
Luxembourg;Skills activation;50.8
Malta;Skills activation;66.6
Netherlands;Skills activation;73.4
Norway;Skills activation;67.8
Poland;Skills activation;53.4
Portugal;Skills activation;50.3
Romania;Skills activation;24.8
Slovakia;Skills activation;37.9
Slovenia;Skills activation;64.8
Spain;Skills activation;19.0
Sweden;Skills activation;71.6
Switzerland;Skills activation;84.0
United Kingdom;Skills activation;62.5
