Country;Pillar;Value
Austria;Skills development;61.6
Belgium;Skills development;51.9
Bulgaria;Skills development;33.3
Croatia;Skills development;56.0
Cyprus;Skills development;26.1
Czechia;Skills development;58.3
Denmark;Skills development;65.6
Estonia;Skills development;67.8
Finland;Skills development;82.9
France;Skills development;39.0
Germany;Skills development;58.8
Greece;Skills development;35.0
Hungary;Skills development;44.1
Iceland;Skills development;65.0
Ireland;Skills development;53.4
Italy;Skills development;39.0
Latvia;Skills development;50.0
Lithuania;Skills development;49.4
Luxembourg;Skills development;56.0
Malta;Skills development;35.7
Netherlands;Skills development;64.4
Norway;Skills development;62.3
Poland;Skills development;51.4
Portugal;Skills development;35.2
Romania;Skills development;29.3
Slovakia;Skills development;53.0
Slovenia;Skills development;53.0
Spain;Skills development;41.0
Sweden;Skills development;61.9
Switzerland;Skills development;67.1
United Kingdom;Skills development;49.6
