Country;Pillar;Value
Austria;Skills matching;45.2
Belgium;Skills matching;53.5
Bulgaria;Skills matching;65.2
Croatia;Skills matching;73.5
Cyprus;Skills matching;30.1
Czechia;Skills matching;93.3
Denmark;Skills matching;63.4
Estonia;Skills matching;60.9
Finland;Skills matching;63.5
France;Skills matching;46.1
Germany;Skills matching;57.4
Greece;Skills matching;13.4
Hungary;Skills matching;72.7
Iceland;Skills matching;51.4
Ireland;Skills matching;26.7
Italy;Skills matching;31.0
Latvia;Skills matching;50.2
Lithuania;Skills matching;49.8
Luxembourg;Skills matching;72.9
Malta;Skills matching;75.2
Netherlands;Skills matching;53.1
Norway;Skills matching;56.2
Poland;Skills matching;73.2
Portugal;Skills matching;43.8
Romania;Skills matching;66.6
Slovakia;Skills matching;64.3
Slovenia;Skills matching;65.7
Spain;Skills matching;11.2
Sweden;Skills matching;53.1
Switzerland;Skills matching;38.8
United Kingdom;Skills matching;37.2
;;
