Dataset,Indicator,Countries,Value
Skills in online job advertisements,Skills in online job advertisements,Belgium,4.05
Skills in online job advertisements,Skills in online job advertisements,Bulgaria,0.26
Skills in online job advertisements,Skills in online job advertisements,Czechia,1.1
Skills in online job advertisements,Skills in online job advertisements,Denmark,0.41
Skills in online job advertisements,Skills in online job advertisements,Germany,18.83
Skills in online job advertisements,Skills in online job advertisements,Estonia,0.1
Skills in online job advertisements,Skills in online job advertisements,Ireland,1.05
Skills in online job advertisements,Skills in online job advertisements,Greece,0.17
Skills in online job advertisements,Skills in online job advertisements,Spain,1.92
Skills in online job advertisements,Skills in online job advertisements,France,24.64
Skills in online job advertisements,Skills in online job advertisements,Croatia,0.28
Skills in online job advertisements,Skills in online job advertisements,Italy,5.24
Skills in online job advertisements,Skills in online job advertisements,Cyprus,0.04
Skills in online job advertisements,Skills in online job advertisements,Latvia,0.2
Skills in online job advertisements,Skills in online job advertisements,Lithuania,0.25
Skills in online job advertisements,Skills in online job advertisements,Luxembourg,0.09
Skills in online job advertisements,Skills in online job advertisements,Hungary,0.47
Skills in online job advertisements,Skills in online job advertisements,Malta,0.03
Skills in online job advertisements,Skills in online job advertisements,Netherlands,5.65
Skills in online job advertisements,Skills in online job advertisements,Austria,0.91
Skills in online job advertisements,Skills in online job advertisements,Poland,4.56
Skills in online job advertisements,Skills in online job advertisements,Portugal,0.86
Skills in online job advertisements,Skills in online job advertisements,Romania,0.6
Skills in online job advertisements,Skills in online job advertisements,Slovenia,0.1
Skills in online job advertisements,Skills in online job advertisements,Slovakia,0.32
Skills in online job advertisements,Skills in online job advertisements,Finland,0.2
Skills in online job advertisements,Skills in online job advertisements,Sweden,3.61
Skills in online job advertisements,Skills in online job advertisements,United Kingdom,24.04
